January 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-077,"Lauderdale County",45.8,116,6.4,39.4
AL-079,"Lawrence County",45.6,111,5.2,40.4
AL-081,"Lee County",48.9,99,3.3,45.6
AL-083,"Limestone County",45.6,113,5.7,39.9
AL-085,"Lowndes County",51.6,107,4.4,47.2
AL-087,"Macon County",49.8,100,3.3,46.5
AL-089,"Madison County",45.4,110,5.2,40.2
AL-091,"Marengo County",49.3,91,2.7,46.6
AL-093,"Marion County",46.6,111,5.3,41.3
AL-095,"Marshall County",45.9,108,4.9,41
AL-097,"Mobile County",54.3,102,3.8,50.5
AL-099,"Monroe County",52.8,105,4.4,48.4
AL-101,"Montgomery County",51.3,106,4.2,47.1
AL-103,"Morgan County",45.8,109,5.2,40.6
AL-105,"Perry County",49.0,93,3.4,45.6
AL-107,"Pickens County",48.8,106,4.7,44.1
AL-109,"Pike County",51.3,99,3.6,47.7
AL-111,"Randolph County",47.5,112,5.2,42.3
AL-113,"Russell County",50.7,102,3.7,47
AL-115,"St. Clair County",47.7,112,5.2,42.5
AL-117,"Shelby County",48.5,110,4.8,43.7
AL-119,"Sumter County",49.2,94,3.4,45.8
AL-121,"Talladega County",48.0,107,4.4,43.6
AL-123,"Tallapoosa County",47.9,100,3.5,44.4
AL-125,"Tuscaloosa County",49.2,111,5.0,44.2
AL-127,"Walker County",47.8,111,5.2,42.6
AL-129,"Washington County",52.2,98,3.6,48.6
AL-131,"Wilcox County",51.5,101,4.0,47.5
AL-133,"Winston County",45.9,110,5.0,40.9
AZ-001,"Apache County",32.7,91,3.0,29.7
AZ-003,"Cochise County",46.1,100,2.6,43.5
AZ-005,"Coconino County",35.6,107,3.7,31.9
AZ-007,"Gila County",44.9,111,4.0,40.9
AZ-009,"Graham County",45.1,101,2.5,42.6
AZ-011,"Greenlee County",41.6,105,3.2,38.4
AZ-012,"La Paz County",53.8,99,2.6,51.2
AZ-013,"Maricopa County",53.4,97,2.6,50.8
AZ-015,"Mohave County",45.6,104,3.3,42.3
AZ-017,"Navajo County",34.0,100,3.6,30.4
AZ-019,"Pima County",52.1,101,2.5,49.6
AZ-021,"Pinal County",51.7,94,2.2,49.5
AZ-023,"Santa Cruz County",47.0,99,2.7,44.3
AZ-025,"Yavapai County",44.3,106,3.4,40.9
AZ-027,"Yuma County",55.4,99,2.6,52.8
AR-001,"Arkansas County",46.4,111,5.2,41.2
AR-003,"Ashley County",48.5,109,4.9,43.6
AR-005,"Baxter County",39.6,106,4.7,34.9
AR-007,"Benton County",40.2,111,5.2,35
AR-009,"Boone County",39.3,107,4.6,34.7
AR-011,"Bradley County",48.0,112,5.2,42.8
AR-013,"Calhoun County",47.2,109,4.4,42.8
AR-015,"Carroll County",39.6,109,4.7,34.9
AR-017,"Chicot County",48.1,106,4.3,43.8
AR-019,"Clark County",45.2,102,3.6,41.6
AR-021,"Clay County",41.5,110,5.6,35.9
AR-023,"Cleburne County",41.9,106,4.4,37.5
AR-025,"Cleveland County",46.4,106,4.4,42
AR-027,"Columbia County",47.3,101,3.5,43.8
AR-029,"Conway County",42.3,103,3.7,38.6
AR-031,"Craighead County",42.7,114,5.7,37
AR-033,"Crawford County",42.0,108,4.5,37.5
AR-035,"Crittenden County",45.4,116,6.0,39.4
AR-037,"Cross County",44.1,111,5.3,38.8
AR-039,"Dallas County",45.6,103,3.6,42
AR-041,"Desha County",47.6,113,5.3,42.3
AR-043,"Drew County",48.0,112,5.3,42.7
AR-045,"Faulkner County",42.5,98,3.3,39.2
AR-047,"Franklin County",41.8,109,4.3,37.5
AR-049,"Fulton County",39.9,112,5.7,34.2
AR-051,"Garland County",44.4,108,4.3,40.1
AR-053,"Grant County",45.1,103,3.5,41.6
AR-055,"Greene County",41.9,111,5.6,36.3
AR-057,"Hempstead County",45.9,104,3.6,42.3
AR-059,"Hot Spring County",44.8,103,3.6,41.2
AR-061,"Howard County",45.2,110,4.2,41
AR-063,"Independence County",41.8,109,5.0,36.8
AR-065,"Izard County",40.1,106,4.7,35.4
AR-067,"Jackson County",42.4,108,5.0,37.4
AR-069,"Jefferson County",45.6,104,4.1,41.5
AR-071,"Johnson County",41.1,107,4.2,36.9
AR-073,"Lafayette County",47.6,105,3.9,43.7
AR-075,"Lawrence County",41.1,109,4.9,36.2
AR-077,"Lee County",45.8,114,5.6,40.2
AR-079,"Lincoln County",47.0,112,5.0,42
AR-081,"Little River County",47.2,112,4.7,42.5
AR-083,"Logan County",42.8,108,4.3,38.5
AR-085,"Lonoke County",44.4,103,3.9,40.5
AR-087,"Madison County",39.6,108,4.6,35
AR-089,"Marion County",39.5,107,4.7,34.8
AR-091,"Miller County",48.0,109,4.2,43.8
AR-093,"Mississippi County",43.9,116,6.0,37.9
AR-095,"Monroe County",45.7,111,5.3,40.4
AR-097,"Montgomery County",43.9,107,4.3,39.6
AR-099,"Nevada County",46.0,102,3.5,42.5
AR-101,"Newton County",39.5,107,4.7,34.8
AR-103,"Ouachita County",46.6,101,3.5,43.1
AR-105,"Perry County",43.6,105,4.1,39.5
AR-107,"Phillips County",46.5,114,5.7,40.8
AR-109,"Pike County",44.5,106,3.7,40.8
AR-111,"Poinsett County",43.4,113,5.6,37.8
AR-113,"Polk County",43.6,111,4.7,38.9
AR-115,"Pope County",41.5,105,4.1,37.4
AR-117,"Prairie County",45.0,104,4.7,40.3
AR-119,"Pulaski County",43.9,101,3.5,40.4
AR-121,"Randolph County",40.6,109,5.2,35.4
AR-123,"St. Francis County",45.1,115,5.5,39.6
AR-125,"Saline County",44.1,104,3.6,40.5
AR-127,"Scott County",43.4,110,4.7,38.7
AR-129,"Searcy County",40.1,107,4.8,35.3
AR-131,"Sebastian County",43.5,110,4.8,38.7
AR-133,"Sevier County",46.6,115,5.3,41.3
AR-135,"Sharp County",40.2,109,5.1,35.1
AR-137,"Stone County",40.7,106,4.7,36
AR-139,"Union County",48.2,109,4.5,43.7
AR-141,"Van Buren County",41.0,106,4.2,36.8
AR-143,"Washington County",40.3,109,4.7,35.6
AR-145,"White County",43.5,106,4.7,38.8
AR-147,"Woodruff County",44.0,107,5.0,39
AR-149,"Yell County",43.5,106,4.3,39.2
CA-001,"Alameda County",48.7,99,2.3,46.4
CA-003,"Alpine County",33.8,115,4.4,29.4
CA-005,"Amador County",44.8,90,1.7,43.1
CA-007,"Butte County",46.2,104,3.0,43.2
CA-009,"Calaveras County",45.2,94,1.9,43.3
CA-011,"Colusa County",47.2,101,2.8,44.4
CA-013,"Contra Costa County",48.7,105,2.8,45.9
CA-015,"Del Norte County",40.9,86,1.6,39.3
CA-017,"El Dorado County",41.8,95,2.2,39.6
CA-019,"Fresno County",41.8,100,2.6,39.2
CA-021,"Glenn County",46.3,102,2.9,43.4
CA-023,"Humboldt County",44.2,97,2.4,41.8
CA-025,"Imperial County",57.8,110,3.6,54.2
CA-027,"Inyo County",44.6,107,3.4,41.2
CA-029,"Kern County",46.6,95,2.3,44.3
CA-031,"Kings County",47.5,93,2.2,45.3
CA-033,"Lake County",44.5,88,1.6,42.9
CA-035,"Lassen County",34.1,116,5.0,29.1
CA-037,"Los Angeles County",51.6,111,3.8,47.8
CA-039,"Madera County",42.8,105,3.0,39.8
CA-041,"Marin County",50.3,110,3.2,47.1
CA-043,"Mariposa County",42.3,98,2.5,39.8
CA-045,"Mendocino County",44.7,72,0.8,43.9
CA-047,"Merced County",48.6,106,3.3,45.3
CA-049,"Modoc County",33.3,106,4.6,28.7
CA-051,"Mono County",32.3,117,5.1,27.2
CA-053,"Monterey County",48.9,92,2.0,46.9
CA-055,"Napa County",48.0,110,2.9,45.1
CA-057,"Nevada County",39.6,91,2.0,37.6
CA-059,"Orange County",57.2,107,3.2,54
CA-061,"Placer County",41.0,95,2.3,38.7
CA-063,"Plumas County",35.2,109,3.8,31.4
CA-065,"Riverside County",53.8,110,3.4,50.4
CA-067,"Sacramento County",48.8,105,3.0,45.8
CA-069,"San Benito County",46.8,90,1.9,44.9
CA-071,"San Bernardino County",50.3,111,3.7,46.6
CA-073,"San Diego County",53.4,113,3.9,49.5
CA-075,"San Francisco County",51.2,112,3.0,48.2
CA-077,"San Joaquin County",49.2,110,3.7,45.5
CA-079,"San Luis Obispo County",48.8,93,1.9,46.9
CA-081,"San Mateo County",50.4,100,2.4,48
CA-083,"Santa Barbara County",50.6,97,2.6,48
CA-085,"Santa Clara County",47.6,91,1.9,45.7
CA-087,"Santa Cruz County",50.7,110,3.1,47.6
CA-089,"Shasta County",40.6,84,1.8,38.8
CA-091,"Sierra County",35.6,105,3.9,31.7
CA-093,"Siskiyou County",35.7,96,2.8,32.9
CA-095,"Solano County",49.0,108,3.2,45.8
CA-097,"Sonoma County",48.8,102,2.4,46.4
CA-099,"Stanislaus County",48.5,109,3.4,45.1
CA-101,"Sutter County",48.3,101,2.7,45.6
CA-103,"Tehama County",44.5,95,2.1,42.4
CA-105,"Trinity County",39.6,96,2.3,37.3
CA-107,"Tulare County",40.5,95,2.4,38.1
CA-109,"Tuolumne County",38.9,108,3.2,35.7
CA-111,"Ventura County",50.0,115,4.0,46
CA-113,"Yolo County",48.5,103,2.9,45.6
CA-115,"Yuba County",46.7,96,2.2,44.5
CO-001,"Adams County",33.0,118,6.4,26.6
CO-003,"Alamosa County",18.5,56,0.1,18.4
CO-005,"Arapahoe County",32.9,115,5.8,27.1
CO-007,"Archuleta County",24.8,92,3.0,21.8
CO-009,"Baca County",36.0,107,4.7,31.3
CO-011,"Bent County",35.2,115,5.8,29.4
CO-013,"Boulder County",29.8,106,4.4,25.4
CO-014,"Broomfield County",35.0,112,5.4,29.6
CO-015,"Chaffee County",19.9,76,0.9,19
CO-017,"Cheyenne County",34.0,121,6.5,27.5
CO-019,"Clear Creek County",22.4,99,3.1,19.3
CO-021,"Conejos County",19.6,71,1.1,18.5
CO-023,"Costilla County",23.1,86,2.2,20.9
CO-025,"Crowley County",33.2,111,5.0,28.2
CO-027,"Custer County",25.3,93,2.5,22.8
CO-029,"Delta County",25.2,77,2.3,22.9
CO-031,"Denver County",34.8,112,5.5,29.3
CO-033,"Dolores County",25.4,91,2.3,23.1
CO-035,"Douglas County",31.5,97,3.4,28.1
CO-037,"Eagle County",20.5,88,1.8,18.7
CO-039,"Elbert County",31.2,111,4.9,26.3
CO-041,"El Paso County",32.1,106,4.2,27.9
CO-043,"Fremont County",28.6,90,2.2,26.4
CO-045,"Garfield County",23.3,75,1.6,21.7
CO-047,"Gilpin County",25.2,105,3.7,21.5
CO-049,"Grand County",19.4,102,3.0,16.4
CO-051,"Gunnison County",17.8,78,1.3,16.5
CO-053,"Hinsdale County",19.4,98,2.5,16.9
CO-055,"Huerfano County",31.0,95,3.1,27.9
CO-057,"Jackson County",18.8,99,2.6,16.2
CO-059,"Jefferson County",31.6,102,3.6,28
CO-061,"Kiowa County",34.2,117,6.1,28.1
CO-063,"Kit Carson County",34.0,120,6.7,27.3
CO-065,"Lake County",17.0,80,1.3,15.7
CO-067,"La Plata County",26.0,89,2.4,23.6
CO-069,"Larimer County",26.9,105,4.4,22.5
CO-071,"Las Animas County",34.4,96,3.5,30.9
CO-073,"Lincoln County",32.0,110,5.0,27
CO-075,"Logan County",32.7,119,6.8,25.9
CO-077,"Mesa County",25.6,73,2.4,23.2
CO-079,"Mineral County",20.1,98,3.5,16.6
CO-081,"Moffat County",22.2,89,2.4,19.8
CO-083,"Montezuma County",29.5,96,3.2,26.3
CO-085,"Montrose County",26.5,85,2.6,23.9
CO-087,"Morgan County",32.6,121,8.3,24.3
CO-089,"Otero County",35.5,113,5.2,30.3
CO-091,"Ouray County",22.6,82,1.8,20.8
CO-093,"Park County",21.4,89,1.9,19.5
CO-095,"Phillips County",31.8,116,6.4,25.4
CO-097,"Pitkin County",20.4,90,2.2,18.2
CO-099,"Prowers County",35.6,120,6.1,29.5
CO-101,"Pueblo County",35.0,101,4.1,30.9
CO-103,"Rio Blanco County",22.8,81,1.8,21
CO-105,"Rio Grande County",17.8,66,0.8,17
CO-107,"Routt County",20.7,98,2.7,18
CO-109,"Saguache County",18.0,63,0.4,17.6
CO-111,"San Juan County",20.4,96,2.3,18.1
CO-113,"San Miguel County",25.8,86,2.2,23.6
CO-115,"Sedgwick County",31.3,112,5.9,25.4
CO-117,"Summit County",18.7,95,2.6,16.1
CO-119,"Teller County",24.7,95,2.7,22
CO-121,"Washington County",32.9,117,7.1,25.8
CO-123,"Weld County",32.1,119,6.7,25.4
CO-125,"Yuma County",33.4,120,6.9,26.5
CT-001,"Fairfield County",34.5,118,7.7,26.8
CT-003,"Hartford County",32.8,119,7.8,25
CT-005,"Litchfield County",30.4,118,7.7,22.7
CT-007,"Middlesex County",34.3,119,7.5,26.8
CT-009,"New Haven County",33.8,117,7.2,26.6
CT-011,"New London County",35.2,120,8.2,27
CT-013,"Tolland County",32.7,120,8.2,24.5
CT-015,"Windham County",33.4,121,8.4,25
DE-001,"Kent County",39.7,116,6.8,32.9
DE-003,"New Castle County",38.4,117,7.0,31.4
DE-005,"Sussex County",41.6,117,7.1,34.5
FL-001,"Alachua County",58.8,106,3.6,55.2
FL-003,"Baker County",56.7,105,3.7,53
FL-005,"Bay County",57.9,110,5.6,52.3
FL-007,"Bradford County",58.6,108,4.1,54.5
FL-009,"Brevard County",64.1,105,3.2,60.9
FL-011,"Broward County",68.7,108,3.4,65.3
FL-013,"Calhoun County",57.4,113,6.1,51.3
FL-015,"Charlotte County",65.4,106,3.0,62.4
FL-017,"Citrus County",60.5,103,3.4,57.1
FL-019,"Clay County",60.2,113,5.5,54.7
FL-021,"Collier County",67.0,102,2.4,64.6
FL-023,"Columbia County",55.9,96,2.7,53.2
FL-027,"DeSoto County",64.4,105,2.9,61.5
FL-029,"Dixie County",57.8,105,4.0,53.8
FL-031,"Duval County",59.5,113,5.6,53.9
FL-033,"Escambia County",55.0,100,3.6,51.4
FL-035,"Flagler County",61.9,112,5.0,56.9
FL-037,"Franklin County",58.6,114,5.7,52.9
FL-039,"Gadsden County",56.4,107,5.1,51.3
FL-041,"Gilchrist County",57.7,104,3.6,54.1
FL-043,"Glades County",65.0,103,2.6,62.4
FL-045,"Gulf County",58.6,114,6.1,52.5
FL-047,"Hamilton County",55.1,97,3.0,52.1
FL-049,"Hardee County",63.8,105,3.0,60.8
FL-051,"Hendry County",66.0,102,2.5,63.5
FL-053,"Hernando County",62.0,107,4.1,57.9
FL-055,"Highlands County",64.1,103,2.8,61.3
FL-057,"Hillsborough County",64.0,110,4.1,59.9
FL-059,"Holmes County",54.6,104,4.2,50.4
FL-061,"Indian River County",64.7,106,3.2,61.5
FL-063,"Jackson County",56.7,110,5.7,51
FL-065,"Jefferson County",56.7,109,4.9,51.8
FL-067,"Lafayette County",56.7,104,3.6,53.1
FL-069,"Lake County",62.5,108,4.3,58.2
FL-071,"Lee County",66.0,104,2.6,63.4
FL-073,"Leon County",56.6,109,4.9,51.7
FL-075,"Levy County",59.2,105,3.9,55.3
FL-077,"Liberty County",57.5,111,5.8,51.7
FL-079,"Madison County",56.1,106,4.3,51.8
FL-081,"Manatee County",64.1,105,3.3,60.8
FL-083,"Marion County",60.2,106,3.6,56.6
FL-085,"Martin County",67.6,110,4.2,63.4
FL-086,"Miami-Dade County",69.6,111,3.7,65.9
FL-087,"Monroe County",69.8,108,3.4,66.4
FL-089,"Nassau County",58.3,113,5.6,52.7
FL-091,"Okaloosa County",54.1,99,3.2,50.9
FL-093,"Okeechobee County",64.9,106,3.2,61.7
FL-095,"Orange County",63.6,108,3.9,59.7
FL-097,"Osceola County",63.9,105,3.3,60.6
FL-099,"Palm Beach County",67.9,109,3.5,64.4
FL-101,"Pasco County",62.9,110,4.4,58.5
FL-103,"Pinellas County",64.2,109,4.0,60.2
FL-105,"Polk County",63.7,106,3.5,60.2
FL-107,"Putnam County",61.2,113,5.1,56.1
FL-109,"St. Johns County",61.4,113,5.8,55.6
FL-111,"St. Lucie County",66.2,107,3.6,62.6
FL-113,"Santa Rosa County",54.0,95,2.7,51.3
FL-115,"Sarasota County",64.5,103,2.9,61.6
FL-117,"Seminole County",63.3,106,3.9,59.4
FL-119,"Sumter County",61.6,106,3.8,57.8
FL-121,"Suwannee County",56.0,99,3.1,52.9
FL-123,"Taylor County",57.6,110,4.9,52.7
FL-125,"Union County",57.0,100,3.0,54
FL-127,"Volusia County",62.4,106,4.1,58.3
FL-129,"Wakulla County",57.4,109,5.1,52.3
FL-131,"Walton County",54.8,102,4.0,50.8
FL-133,"Washington County",56.6,111,5.4,51.2
GA-001,"Appling County",54.6,110,4.8,49.8
GA-003,"Atkinson County",54.6,107,4.6,50
GA-005,"Bacon County",54.9,109,4.8,50.1
GA-007,"Baker County",54.1,106,4.4,49.7
GA-009,"Baldwin County",51.3,115,6.0,45.3
GA-011,"Banks County",46.9,114,5.0,41.9
GA-013,"Barrow County",47.0,112,5.1,41.9
GA-015,"Bartow County",45.8,111,5.0,40.8
GA-017,"Ben Hill County",53.9,112,5.6,48.3
GA-019,"Berrien County",54.2,107,4.6,49.6
GA-021,"Bibb County",51.8,117,6.2,45.6
GA-023,"Bleckley County",53.1,116,6.1,47
GA-025,"Brantley County",56.0,112,5.1,50.9
GA-027,"Brooks County",54.8,104,4.2,50.6
GA-029,"Bryan County",55.8,111,5.8,50
GA-031,"Bulloch County",54.2,113,5.8,48.4
GA-033,"Burke County",53.0,117,6.9,46.1
GA-035,"Butts County",49.5,115,5.9,43.6
GA-037,"Calhoun County",53.3,104,4.2,49.1
GA-039,"Camden County",57.4,113,5.3,52.1
GA-043,"Candler County",53.8,113,5.6,48.2
GA-045,"Carroll County",47.5,114,6.1,41.4
GA-047,"Catoosa County",46.0,115,6.3,39.7
GA-049,"Charlton County",56.9,111,5.0,51.9
GA-051,"Chatham County",56.4,113,6.3,50.1
GA-053,"Chattahoochee County",51.1,107,4.3,46.8
GA-055,"Chattooga County",46.0,113,5.6,40.4
GA-057,"Cherokee County",45.5,111,5.1,40.4
GA-059,"Clarke County",47.4,113,5.1,42.3
GA-061,"Clay County",52.7,104,4.0,48.7
GA-063,"Clayton County",48.1,112,5.5,42.6
GA-065,"Clinch County",54.7,103,3.5,51.2
GA-067,"Cobb County",46.9,114,5.8,41.1
GA-069,"Coffee County",54.2,108,4.9,49.3
GA-071,"Colquitt County",54.1,106,4.4,49.7
GA-073,"Columbia County",51.6,118,6.8,44.8
GA-075,"Cook County",54.1,106,4.3,49.8
GA-077,"Coweta County",48.6,115,5.9,42.7
GA-079,"Crawford County",51.5,114,6.0,45.5
GA-081,"Crisp County",53.2,112,5.8,47.4
GA-083,"Dade County",44.9,113,6.0,38.9
GA-085,"Dawson County",44.6,112,4.9,39.7
GA-087,"Decatur County",55.5,106,4.8,50.7
GA-089,"DeKalb County",47.3,112,5.5,41.8
GA-091,"Dodge County",53.8,117,6.1,47.7
GA-093,"Dooly County",52.8,115,5.9,46.9
GA-095,"Dougherty County",53.8,107,4.6,49.2
GA-097,"Douglas County",47.4,115,6.0,41.4
GA-099,"Early County",54.1,106,4.5,49.6
GA-101,"Echols County",54.6,99,3.1,51.5
GA-103,"Effingham County",54.7,111,6.0,48.7
GA-105,"Elbert County",47.6,113,5.6,42
GA-107,"Emanuel County",53.3,115,5.9,47.4
GA-109,"Evans County",54.5,111,5.2,49.3
GA-111,"Fannin County",42.1,107,4.6,37.5
GA-113,"Fayette County",48.7,115,5.8,42.9
GA-115,"Floyd County",46.2,111,5.2,41
GA-117,"Forsyth County",45.6,111,5.0,40.6
GA-119,"Franklin County",46.8,113,4.8,42
GA-121,"Fulton County",47.3,114,5.8,41.5
GA-123,"Gilmer County",43.0,110,4.8,38.2
GA-125,"Glascock County",51.2,116,6.0,45.2
GA-127,"Glynn County",56.8,112,5.0,51.8
GA-129,"Gordon County",45.5,112,5.0,40.5
GA-131,"Grady County",55.3,106,4.6,50.7
GA-133,"Greene County",48.8,113,5.3,43.5
GA-135,"Gwinnett County",46.5,112,5.1,41.4
GA-137,"Habersham County",45.1,112,4.5,40.6
GA-139,"Hall County",46.1,112,5.0,41.1
GA-141,"Hancock County",50.4,114,5.7,44.7
GA-143,"Haralson County",47.0,115,6.2,40.8
GA-145,"Harris County",49.4,108,4.4,45
GA-147,"Hart County",47.2,114,5.5,41.7
GA-149,"Heard County",48.0,113,5.4,42.6
GA-151,"Henry County",48.6,114,5.4,43.2
GA-153,"Houston County",52.6,116,6.1,46.5
GA-155,"Irwin County",53.9,109,5.3,48.6
GA-157,"Jackson County",47.0,112,5.0,42
GA-159,"Jasper County",49.7,116,6.3,43.4
GA-161,"Jeff Davis County",54.0,111,5.0,49
GA-163,"Jefferson County",51.9,116,6.1,45.8
GA-165,"Jenkins County",53.5,117,6.9,46.6
GA-167,"Johnson County",52.6,115,5.7,46.9
GA-169,"Jones County",51.0,116,6.2,44.8
GA-171,"Lamar County",50.0,114,5.8,44.2
GA-173,"Lanier County",54.2,104,3.8,50.4
GA-175,"Laurens County",53.4,115,6.0,47.4
GA-177,"Lee County",53.3,109,5.0,48.3
GA-179,"Liberty County",55.9,111,5.4,50.5
GA-181,"Lincoln County",49.8,116,6.2,43.6
GA-183,"Long County",55.5,111,4.9,50.6
GA-185,"Lowndes County",54.4,102,3.6,50.8
GA-187,"Lumpkin County",44.1,111,5.0,39.1
GA-189,"McDuffie County",50.9,117,6.5,44.4
GA-191,"McIntosh County",56.5,112,5.2,51.3
GA-193,"Macon County",52.0,113,5.6,46.4
GA-195,"Madison County",46.8,113,4.9,41.9
GA-197,"Marion County",50.9,108,4.5,46.4
GA-199,"Meriwether County",49.1,112,5.2,43.9
GA-201,"Miller County",54.6,107,4.5,50.1
GA-205,"Mitchell County",54.4,106,4.5,49.9
GA-207,"Monroe County",50.5,115,6.0,44.5
GA-209,"Montgomery County",53.9,114,5.6,48.3
GA-211,"Morgan County",48.8,115,5.8,43
GA-213,"Murray County",44.6,112,5.1,39.5
GA-215,"Muscogee County",50.7,108,4.2,46.5
GA-217,"Newton County",48.5,115,5.7,42.8
GA-219,"Oconee County",47.7,113,5.1,42.6
GA-221,"Oglethorpe County",47.4,112,5.0,42.4
GA-223,"Paulding County",46.9,114,6.0,40.9
GA-225,"Peach County",52.0,116,6.0,46
GA-227,"Pickens County",44.3,110,4.7,39.6
GA-229,"Pierce County",55.6,111,5.0,50.6
GA-231,"Pike County",49.8,114,5.7,44.1
GA-233,"Polk County",47.2,118,6.1,41.1
GA-235,"Pulaski County",53.2,116,6.1,47.1
GA-237,"Putnam County",50.1,116,6.1,44
GA-239,"Quitman County",51.9,104,4.0,47.9
GA-241,"Rabun County",43.1,109,4.4,38.7
GA-243,"Randolph County",52.2,104,4.1,48.1
GA-245,"Richmond County",52.6,118,6.9,45.7
GA-247,"Rockdale County",47.9,114,5.4,42.5
GA-249,"Schley County",51.5,110,4.9,46.6
GA-251,"Screven County",53.4,115,6.3,47.1
GA-253,"Seminole County",55.9,110,5.3,50.6
GA-255,"Spalding County",49.4,115,5.5,43.9
GA-257,"Stephens County",46.2,111,4.2,42
GA-259,"Stewart County",51.4,105,4.2,47.2
GA-261,"Sumter County",52.3,108,5.0,47.3
GA-263,"Talbot County",50.1,109,4.9,45.2
GA-265,"Taliaferro County",49.3,113,5.7,43.6
GA-267,"Tattnall County",54.4,110,4.8,49.6
GA-269,"Taylor County",51.1,112,5.3,45.8
GA-271,"Telfair County",54.0,113,5.6,48.4
GA-273,"Terrell County",52.7,108,4.5,48.2
GA-275,"Thomas County",55.1,106,4.4,50.7
GA-277,"Tift County",53.7,108,4.9,48.8
GA-279,"Toombs County",54.0,111,5.1,48.9
GA-281,"Towns County",42.3,109,4.8,37.5
GA-283,"Treutlen County",53.6,114,5.8,47.8
GA-285,"Troup County",48.5,111,4.8,43.7
GA-287,"Turner County",53.4,111,5.4,48
GA-289,"Twiggs County",52.4,116,6.0,46.4
GA-291,"Union County",42.4,111,4.9,37.5
GA-293,"Upson County",50.4,113,5.6,44.8
GA-295,"Walker County",45.9,116,6.5,39.4
GA-297,"Walton County",47.6,114,5.3,42.3
GA-299,"Ware County",55.6,106,4.5,51.1
GA-301,"Warren County",50.5,116,6.1,44.4
GA-303,"Washington County",51.7,115,5.6,46.1
GA-305,"Wayne County",55.4,110,4.8,50.6
GA-307,"Webster County",51.6,106,4.4,47.2
GA-309,"Wheeler County",54.0,114,5.7,48.3
GA-311,"White County",44.4,112,4.8,39.6
GA-313,"Whitfield County",45.8,114,6.0,39.8
GA-315,"Wilcox County",53.6,114,6.0,47.6
GA-317,"Wilkes County",48.8,113,5.8,43
GA-319,"Wilkinson County",52.3,115,5.9,46.4
GA-321,"Worth County",53.6,109,4.9,48.7
ID-001,"Ada County",36.6,120,7.2,29.4
ID-003,"Adams County",27.8,106,5.0,22.8
ID-005,"Bannock County",27.7,109,5.5,22.2
ID-007,"Bear Lake County",23.1,104,5.2,17.9
ID-009,"Benewah County",33.3,117,7.1,26.2
ID-011,"Bingham County",25.7,103,5.9,19.8
ID-013,"Blaine County",23.5,98,4.1,19.4
ID-015,"Boise County",28.4,112,5.5,22.9
ID-017,"Bonner County",29.6,115,6.6,23
ID-019,"Bonneville County",24.5,108,5.5,19
ID-021,"Boundary County",27.4,111,6.7,20.7
ID-023,"Butte County",18.6,71,2.1,16.5
ID-025,"Camas County",23.9,96,4.2,19.7
ID-027,"Canyon County",36.0,117,7.0,29
ID-029,"Caribou County",24.3,99,4.3,20
ID-031,"Cassia County",29.4,104,5.2,24.2
ID-033,"Clark County",19.6,87,3.5,16.1
