October 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-111,"Randolph County",64.9,111,3.7,61.2
AL-113,"Russell County",67.6,102,2.4,65.2
AL-115,"St. Clair County",65.0,107,3.2,61.8
AL-117,"Shelby County",65.8,108,3.1,62.7
AL-119,"Sumter County",67.1,102,2.5,64.6
AL-121,"Talladega County",66.1,110,3.8,62.3
AL-123,"Tallapoosa County",66.4,109,3.4,63
AL-125,"Tuscaloosa County",66.0,96,2.1,63.9
AL-127,"Walker County",63.9,89,1.5,62.4
AL-129,"Washington County",69.7,115,3.8,65.9
AL-131,"Wilcox County",69.0,113,3.6,65.4
AL-133,"Winston County",62.0,81,0.9,61.1
AZ-001,"Apache County",55.2,121,3.9,51.3
AZ-003,"Cochise County",66.7,123,4.8,61.9
AZ-005,"Coconino County",58.7,124,5.6,53.1
AZ-007,"Gila County",66.5,124,6.0,60.5
AZ-009,"Graham County",66.8,124,4.8,62
AZ-011,"Greenlee County",62.5,126,5.0,57.5
AZ-012,"La Paz County",76.9,121,5.2,71.7
AZ-013,"Maricopa County",77.2,125,6.3,70.9
AZ-015,"Mohave County",69.2,124,6.2,63
AZ-017,"Navajo County",56.8,122,4.2,52.6
AZ-019,"Pima County",74.0,121,5.5,68.5
AZ-021,"Pinal County",75.2,123,5.7,69.5
AZ-023,"Santa Cruz County",66.5,121,4.5,62
AZ-025,"Yavapai County",66.3,125,6.4,59.9
AZ-027,"Yuma County",78.0,121,5.3,72.7
AR-001,"Arkansas County",61.7,34,-1.6,63.3
AR-003,"Ashley County",64.1,67,0.1,64
AR-005,"Baxter County",56.2,19,-2.6,58.8
AR-007,"Benton County",57.0,26,-2.2,59.2
AR-009,"Boone County",56.2,22,-2.6,58.8
AR-011,"Bradley County",62.4,41,-1.2,63.6
AR-013,"Calhoun County",61.7,28,-1.9,63.6
AR-015,"Carroll County",56.2,22,-2.7,58.9
AR-017,"Chicot County",64.0,58,-0.3,64.3
AR-019,"Clark County",60.4,17,-2.9,63.3
AR-021,"Clay County",57.6,18,-2.6,60.2
AR-023,"Cleburne County",57.6,17,-2.9,60.5
AR-025,"Cleveland County",60.6,18,-2.7,63.3
AR-027,"Columbia County",61.5,17,-2.9,64.4
AR-029,"Conway County",59.5,26,-2.0,61.5
AR-031,"Craighead County",58.8,25,-2.1,60.9
AR-033,"Crawford County",59.6,38,-1.7,61.3
AR-035,"Crittenden County",61.5,37,-1.2,62.7
AR-037,"Cross County",60.7,39,-1.4,62.1
AR-039,"Dallas County",60.4,17,-2.8,63.2
AR-041,"Desha County",61.5,23,-2.2,63.7
AR-043,"Drew County",62.2,38,-1.4,63.6
AR-045,"Faulkner County",59.2,18,-2.6,61.8
AR-047,"Franklin County",59.2,34,-2.0,61.2
AR-049,"Fulton County",56.1,27,-2.1,58.2
AR-051,"Garland County",59.6,22,-2.6,62.2
AR-053,"Grant County",60.3,16,-2.8,63.1
AR-055,"Greene County",58.1,19,-2.3,60.4
AR-057,"Hempstead County",60.6,16,-3.2,63.8
AR-059,"Hot Spring County",60.1,18,-2.8,62.9
AR-061,"Howard County",60.4,24,-2.3,62.7
AR-063,"Independence County",57.5,15,-2.8,60.3
AR-065,"Izard County",56.5,21,-2.6,59.1
AR-067,"Jackson County",58.6,21,-2.4,61
AR-069,"Jefferson County",60.6,16,-2.7,63.3
AR-071,"Johnson County",58.5,30,-2.0,60.5
AR-073,"Lafayette County",62.2,20,-2.4,64.6
AR-075,"Lawrence County",57.5,17,-2.7,60.2
AR-077,"Lee County",61.8,42,-1.0,62.8
AR-079,"Lincoln County",61.0,20,-2.4,63.4
AR-081,"Little River County",62.2,30,-1.6,63.8
AR-083,"Logan County",60.1,34,-1.7,61.8
AR-085,"Lonoke County",60.1,17,-2.7,62.8
AR-087,"Madison County",56.2,28,-2.4,58.6
AR-089,"Marion County",56.5,24,-2.4,58.9
AR-091,"Miller County",62.8,28,-1.9,64.7
AR-093,"Mississippi County",59.8,33,-1.7,61.5
AR-095,"Monroe County",61.4,35,-1.4,62.8
AR-097,"Montgomery County",59.7,32,-1.9,61.6
AR-099,"Nevada County",60.4,16,-3.5,63.9
AR-101,"Newton County",56.0,25,-2.4,58.4
AR-103,"Ouachita County",61.2,19,-2.8,64
AR-105,"Perry County",60.1,30,-2.1,62.2
AR-107,"Phillips County",62.1,41,-1.1,63.2
AR-109,"Pike County",59.8,19,-2.7,62.5
AR-111,"Poinsett County",59.7,32,-1.8,61.5
AR-113,"Polk County",59.0,30,-1.9,60.9
AR-115,"Pope County",58.8,28,-1.8,60.6
AR-117,"Prairie County",60.1,21,-2.7,62.8
AR-119,"Pulaski County",59.8,16,-2.9,62.7
AR-121,"Randolph County",56.8,17,-2.8,59.6
AR-123,"St. Francis County",61.3,40,-1.3,62.6
AR-125,"Saline County",59.7,16,-2.8,62.5
AR-127,"Scott County",59.6,33,-1.7,61.3
AR-129,"Searcy County",56.4,24,-2.4,58.8
AR-131,"Sebastian County",60.3,33,-1.7,62
AR-133,"Sevier County",61.5,34,-1.6,63.1
AR-135,"Sharp County",56.5,21,-2.5,59
AR-137,"Stone County",56.6,18,-2.7,59.3
AR-139,"Union County",62.6,34,-1.6,64.2
AR-141,"Van Buren County",57.3,22,-2.4,59.7
AR-143,"Washington County",57.5,34,-1.9,59.4
AR-145,"White County",58.8,15,-3.1,61.9
AR-147,"Woodruff County",59.7,24,-2.4,62.1
AR-149,"Yell County",60.4,35,-1.6,62
CA-001,"Alameda County",69.2,126,7.7,61.5
CA-003,"Alpine County",52.4,125,6.9,45.5
CA-005,"Amador County",68.4,126,8.5,59.9
CA-007,"Butte County",69.1,126,7.9,61.2
CA-009,"Calaveras County",68.2,126,7.8,60.4
CA-011,"Colusa County",70.9,126,8.2,62.7
CA-013,"Contra Costa County",70.7,126,8.3,62.4
CA-015,"Del Norte County",58.9,126,5.5,53.4
CA-017,"El Dorado County",63.8,126,7.8,56
CA-019,"Fresno County",63.5,126,6.9,56.6
CA-021,"Glenn County",69.0,126,7.3,61.7
CA-023,"Humboldt County",61.1,125,5.6,55.5
CA-025,"Imperial County",80.4,125,6.6,73.8
CA-027,"Inyo County",67.7,124,6.7,61
CA-029,"Kern County",70.2,126,7.9,62.3
CA-031,"Kings County",70.4,125,5.9,64.5
CA-033,"Lake County",67.4,126,8.4,59
CA-035,"Lassen County",53.1,122,5.2,47.9
CA-037,"Los Angeles County",70.4,126,8.0,62.4
CA-039,"Madera County",64.3,126,7.0,57.3
CA-041,"Marin County",66.1,126,7.5,58.6
CA-043,"Mariposa County",64.8,126,7.9,56.9
CA-045,"Mendocino County",64.2,126,6.5,57.7
CA-047,"Merced County",69.8,126,6.4,63.4
CA-049,"Modoc County",52.6,122,5.4,47.2
CA-051,"Mono County",51.4,125,6.3,45.1
CA-053,"Monterey County",68.1,126,7.9,60.2
CA-055,"Napa County",68.9,126,7.4,61.5
CA-057,"Nevada County",61.7,126,7.4,54.3
CA-059,"Orange County",72.4,125,6.9,65.5
CA-061,"Placer County",63.0,126,7.3,55.7
CA-063,"Plumas County",54.7,124,5.6,49.1
CA-065,"Riverside County",75.4,125,6.7,68.7
CA-067,"Sacramento County",70.0,126,6.1,63.9
CA-069,"San Benito County",68.7,126,8.3,60.4
CA-071,"San Bernardino County",73.6,125,7.2,66.4
CA-073,"San Diego County",71.3,126,7.5,63.8
CA-075,"San Francisco County",65.5,126,6.0,59.5
CA-077,"San Joaquin County",70.3,126,6.8,63.5
CA-079,"San Luis Obispo County",68.7,126,8.2,60.5
CA-081,"San Mateo County",65.4,126,6.5,58.9
CA-083,"Santa Barbara County",67.4,125,7.9,59.5
CA-085,"Santa Clara County",68.2,126,7.7,60.5
CA-087,"Santa Cruz County",65.9,126,6.7,59.2
CA-089,"Shasta County",63.9,126,7.4,56.5
CA-091,"Sierra County",55.6,125,6.6,49
CA-093,"Siskiyou County",55.8,123,5.9,49.9
CA-095,"Solano County",69.9,126,7.0,62.9
CA-097,"Sonoma County",67.6,126,8.0,59.6
CA-099,"Stanislaus County",69.1,126,6.0,63.1
CA-101,"Sutter County",70.6,126,6.5,64.1
CA-103,"Tehama County",68.0,126,7.6,60.4
CA-105,"Trinity County",60.5,126,6.8,53.7
CA-107,"Tulare County",62.1,126,6.9,55.2
CA-109,"Tuolumne County",59.7,126,7.6,52.1
CA-111,"Ventura County",66.6,125,7.8,58.8
CA-113,"Yolo County",70.0,126,6.4,63.6
CA-115,"Yuba County",69.6,126,7.4,62.2
CO-001,"Adams County",48.5,34,-1.6,50.1
CO-003,"Alamosa County",47.5,118,3.3,44.2
CO-005,"Arapahoe County",48.4,37,-1.4,49.8
CO-007,"Archuleta County",50.0,125,4.8,45.2
CO-009,"Baca County",51.8,19,-2.8,54.6
CO-011,"Bent County",51.5,22,-2.4,53.9
CO-013,"Boulder County",45.7,59,0.2,45.5
CO-014,"Broomfield County",48.9,34,-1.9,50.8
CO-015,"Chaffee County",42.5,111,2.5,40
CO-017,"Cheyenne County",49.8,23,-2.3,52.1
CO-019,"Clear Creek County",40.6,105,2.1,38.5
CO-021,"Conejos County",46.3,122,4.5,41.8
CO-023,"Costilla County",47.3,121,4.2,43.1
CO-025,"Crowley County",50.5,28,-1.6,52.1
CO-027,"Custer County",43.9,87,1.2,42.7
CO-029,"Delta County",50.9,119,4.0,46.9
CO-031,"Denver County",49.4,36,-1.5,50.9
CO-033,"Dolores County",48.3,120,4.4,43.9
CO-035,"Douglas County",47.4,49,-0.7,48.1
CO-037,"Eagle County",43.5,113,2.6,40.9
CO-039,"Elbert County",47.5,42,-1.0,48.5
CO-041,"El Paso County",48.4,52,-0.3,48.7
CO-043,"Fremont County",46.4,49,-0.3,46.7
CO-045,"Garfield County",46.7,111,2.7,44
CO-047,"Gilpin County",41.9,80,1.2,40.7
CO-049,"Grand County",41.1,109,2.3,38.8
CO-051,"Gunnison County",43.7,119,3.5,40.2
CO-053,"Hinsdale County",42.8,126,5.9,36.9
CO-055,"Huerfano County",49.0,91,1.4,47.6
CO-057,"Jackson County",39.3,92,1.6,37.7
CO-059,"Jefferson County",46.6,50,-0.6,47.2
CO-061,"Kiowa County",50.4,21,-2.6,53
CO-063,"Kit Carson County",49.0,22,-2.7,51.7
CO-065,"Lake County",39.2,114,2.8,36.4
CO-067,"La Plata County",50.9,124,5.2,45.7
CO-069,"Larimer County",44.0,84,1.3,42.7
CO-071,"Las Animas County",51.4,54,-0.3,51.7
CO-073,"Lincoln County",48.9,32,-1.5,50.4
CO-075,"Logan County",46.1,11,-4.2,50.3
CO-077,"Mesa County",50.8,116,3.4,47.4
CO-079,"Mineral County",43.6,126,5.5,38.1
CO-081,"Moffat County",46.4,108,2.2,44.2
CO-083,"Montezuma County",53.0,120,3.9,49.1
CO-085,"Montrose County",51.1,117,3.7,47.4
CO-087,"Morgan County",46.8,22,-2.8,49.6
CO-089,"Otero County",52.3,35,-1.1,53.4
CO-091,"Ouray County",46.2,119,4.3,41.9
CO-093,"Park County",41.6,94,1.5,40.1
CO-095,"Phillips County",46.7,17,-3.8,50.5
CO-097,"Pitkin County",42.5,117,3.2,39.3
CO-099,"Prowers County",51.5,17,-3.0,54.5
CO-101,"Pueblo County",51.5,43,-0.9,52.4
CO-103,"Rio Blanco County",47.1,108,2.5,44.6
CO-105,"Rio Grande County",46.0,123,4.7,41.3
CO-107,"Routt County",42.8,103,2.1,40.7
CO-109,"Saguache County",45.2,121,3.9,41.3
CO-111,"San Juan County",42.0,126,6.6,35.4
CO-113,"San Miguel County",49.5,120,4.4,45.1
CO-115,"Sedgwick County",46.6,13,-4.0,50.6
CO-117,"Summit County",39.9,114,2.7,37.2
CO-119,"Teller County",41.5,53,-0.5,42
CO-121,"Washington County",47.7,24,-2.7,50.4
CO-123,"Weld County",46.5,27,-2.3,48.8
CO-125,"Yuma County",48.4,24,-3.0,51.4
CT-001,"Fairfield County",55.2,109,2.9,52.3
CT-003,"Hartford County",53.8,105,2.6,51.2
CT-005,"Litchfield County",51.6,106,2.6,49
CT-007,"Middlesex County",54.7,107,2.8,51.9
CT-009,"New Haven County",54.6,102,2.6,52
CT-011,"New London County",54.9,112,3.2,51.7
CT-013,"Tolland County",53.2,109,2.9,50.3
CT-015,"Windham County",53.4,113,3.0,50.4
DE-001,"Kent County",60.6,117,4.5,56.1
DE-003,"New Castle County",58.5,108,3.0,55.5
DE-005,"Sussex County",61.9,118,4.9,57
FL-001,"Alachua County",76.2,125,5.7,70.5
FL-003,"Baker County",74.1,123,5.3,68.8
FL-005,"Bay County",73.5,119,4.6,68.9
FL-007,"Bradford County",75.6,124,5.7,69.9
FL-009,"Brevard County",78.9,122,4.2,74.7
FL-011,"Broward County",80.6,124,3.8,76.8
FL-013,"Calhoun County",72.9,120,4.9,68
FL-015,"Charlotte County",80.5,125,5.1,75.4
FL-017,"Citrus County",77.9,125,5.8,72.1
FL-019,"Clay County",76.3,125,5.9,70.4
FL-021,"Collier County",80.4,123,3.5,76.9
FL-023,"Columbia County",74.2,123,5.2,69
FL-027,"DeSoto County",79.7,125,5.1,74.6
FL-029,"Dixie County",75.9,125,5.8,70.1
FL-031,"Duval County",75.7,123,5.6,70.1
FL-033,"Escambia County",72.1,115,3.9,68.2
FL-035,"Flagler County",77.8,125,5.9,71.9
FL-037,"Franklin County",75.1,122,5.6,69.5
FL-039,"Gadsden County",73.1,121,5.1,68
FL-041,"Gilchrist County",75.6,125,5.7,69.9
FL-043,"Glades County",79.4,125,4.1,75.3
FL-045,"Gulf County",74.1,122,5.3,68.8
FL-047,"Hamilton County",72.6,120,4.4,68.2
FL-049,"Hardee County",79.5,125,5.5,74
FL-051,"Hendry County",79.6,122,3.6,76
FL-053,"Hernando County",78.6,125,6.1,72.5
FL-055,"Highlands County",79.3,125,4.8,74.5
FL-057,"Hillsborough County",79.7,125,5.9,73.8
FL-059,"Holmes County",71.3,116,4.0,67.3
FL-061,"Indian River County",78.9,123,4.3,74.6
FL-063,"Jackson County",72.2,119,4.3,67.9
FL-065,"Jefferson County",73.9,122,5.4,68.5
FL-067,"Lafayette County",74.9,123,5.7,69.2
FL-069,"Lake County",78.4,125,5.8,72.6
FL-071,"Lee County",80.6,124,4.4,76.2
FL-073,"Leon County",73.7,123,5.4,68.3
FL-075,"Levy County",76.8,124,5.9,70.9
FL-077,"Liberty County",73.5,122,5.2,68.3
FL-079,"Madison County",73.5,122,5.3,68.2
FL-081,"Manatee County",79.6,125,5.3,74.3
FL-083,"Marion County",77.0,125,5.6,71.4
FL-085,"Martin County",80.4,125,4.6,75.8
FL-086,"Miami-Dade County",81.4,125,4.2,77.2
FL-087,"Monroe County",81.8,125,4.0,77.8
FL-089,"Nassau County",74.0,122,4.9,69.1
FL-091,"Okaloosa County",72.2,118,4.4,67.8
FL-093,"Okeechobee County",79.1,125,4.4,74.7
FL-095,"Orange County",78.9,125,5.1,73.8
FL-097,"Osceola County",79.1,125,4.8,74.3
FL-099,"Palm Beach County",80.1,125,3.8,76.3
FL-101,"Pasco County",78.8,125,5.9,72.9
FL-103,"Pinellas County",79.8,124,5.1,74.7
FL-105,"Polk County",79.6,125,5.7,73.9
FL-107,"Putnam County",77.2,125,5.9,71.3
FL-109,"St. Johns County",77.5,124,6.1,71.4
FL-111,"St. Lucie County",79.6,125,4.2,75.4
FL-113,"Santa Rosa County",72.1,115,4.0,68.1
FL-115,"Sarasota County",80.2,125,5.3,74.9
FL-117,"Seminole County",78.6,125,5.0,73.6
FL-119,"Sumter County",78.1,125,5.9,72.2
FL-121,"Suwannee County",74.1,121,5.2,68.9
FL-123,"Taylor County",75.3,125,6.0,69.3
FL-125,"Union County",75.1,123,5.6,69.5
FL-127,"Volusia County",78.2,125,5.4,72.8
FL-129,"Wakulla County",74.5,123,5.4,69.1
FL-131,"Walton County",72.0,118,4.3,67.7
FL-133,"Washington County",72.1,117,4.3,67.8
GA-001,"Appling County",71.8,122,5.0,66.8
GA-003,"Atkinson County",71.8,119,4.9,66.9
GA-005,"Bacon County",71.9,122,5.0,66.9
GA-007,"Baker County",72.0,121,4.9,67.1
GA-009,"Baldwin County",68.4,120,4.5,63.9
GA-011,"Banks County",63.9,107,3.0,60.9
GA-013,"Barrow County",64.6,115,3.5,61.1
GA-015,"Bartow County",64.2,111,3.4,60.8
GA-017,"Ben Hill County",71.4,121,5.4,66
GA-019,"Berrien County",71.6,121,4.9,66.7
GA-021,"Bibb County",68.6,121,4.5,64.1
GA-023,"Bleckley County",70.2,122,5.0,65.2
GA-025,"Brantley County",71.6,117,4.2,67.4
GA-027,"Brooks County",72.2,121,4.8,67.4
GA-029,"Bryan County",73.1,123,5.9,67.2
GA-031,"Bulloch County",71.4,123,5.5,65.9
GA-033,"Burke County",70.4,123,6.3,64.1
GA-035,"Butts County",66.0,113,3.4,62.6
GA-037,"Calhoun County",71.3,119,4.7,66.6
GA-039,"Camden County",73.0,118,4.3,68.7
GA-043,"Candler County",71.2,123,5.5,65.7
GA-045,"Carroll County",64.8,114,4.2,60.6
GA-047,"Catoosa County",63.8,112,3.8,60
GA-049,"Charlton County",72.8,120,4.7,68.1
GA-051,"Chatham County",73.9,125,6.3,67.6
GA-053,"Chattahoochee County",67.7,106,2.7,65
GA-055,"Chattooga County",63.3,102,2.6,60.7
GA-057,"Cherokee County",63.6,111,3.4,60.2
GA-059,"Clarke County",65.4,118,3.9,61.5
GA-061,"Clay County",70.2,114,3.9,66.3
GA-063,"Clayton County",65.4,110,3.4,62
GA-065,"Clinch County",71.9,119,4.3,67.6
GA-067,"Cobb County",64.7,115,3.9,60.8
GA-069,"Coffee County",71.7,121,5.2,66.5
GA-071,"Colquitt County",71.7,123,4.9,66.8
GA-073,"Columbia County",68.3,122,4.9,63.4
GA-075,"Cook County",71.7,122,4.8,66.9
GA-077,"Coweta County",65.7,113,3.8,61.9
GA-079,"Crawford County",68.2,118,4.2,64
GA-081,"Crisp County",70.8,122,5.4,65.4
GA-083,"Dade County",63.1,108,3.3,59.8
GA-085,"Dawson County",61.8,107,2.8,59
GA-087,"Decatur County",72.5,120,4.7,67.8
GA-089,"DeKalb County",64.8,112,3.5,61.3
GA-091,"Dodge County",70.8,122,5.2,65.6
GA-093,"Dooly County",70.2,122,5.1,65.1
GA-095,"Dougherty County",72.1,120,5.3,66.8
GA-097,"Douglas County",65.0,116,4.1,60.9
GA-099,"Early County",71.4,118,4.4,67
GA-101,"Echols County",71.9,118,4.1,67.8
GA-103,"Effingham County",72.1,124,6.0,66.1
GA-105,"Elbert County",65.3,116,3.9,61.4
GA-107,"Emanuel County",70.8,122,5.7,65.1
GA-109,"Evans County",71.8,123,5.2,66.6
GA-111,"Fannin County",59.7,105,2.8,56.9
GA-113,"Fayette County",65.6,110,3.5,62.1
GA-115,"Floyd County",63.8,106,2.8,61
GA-117,"Forsyth County",63.1,107,3.1,60
GA-119,"Franklin County",64.2,108,3.2,61
GA-121,"Fulton County",64.9,113,3.8,61.1
GA-123,"Gilmer County",60.8,106,2.8,58
GA-125,"Glascock County",68.4,121,5.0,63.4
GA-127,"Glynn County",72.8,118,4.1,68.7
GA-129,"Gordon County",63.8,110,3.0,60.8
GA-131,"Grady County",72.5,122,4.9,67.6
GA-133,"Greene County",66.2,116,3.8,62.4
GA-135,"Gwinnett County",64.1,110,3.3,60.8
GA-137,"Habersham County",61.4,103,2.3,59.1
GA-139,"Hall County",63.1,107,2.9,60.2
GA-141,"Hancock County",67.6,120,4.4,63.2
GA-143,"Haralson County",63.9,114,4.0,59.9
GA-145,"Harris County",66.6,109,3.2,63.4
GA-147,"Hart County",64.5,114,3.5,61
GA-149,"Heard County",65.5,111,3.9,61.6
GA-151,"Henry County",65.5,109,3.2,62.3
GA-153,"Houston County",69.8,122,5.0,64.8
GA-155,"Irwin County",71.4,122,5.3,66.1
GA-157,"Jackson County",64.6,112,3.4,61.2
GA-159,"Jasper County",66.3,116,3.9,62.4
GA-161,"Jeff Davis County",71.6,121,5.3,66.3
GA-163,"Jefferson County",69.6,122,5.8,63.8
GA-165,"Jenkins County",70.8,123,6.3,64.5
GA-167,"Johnson County",70.0,122,5.3,64.7
GA-169,"Jones County",67.9,119,4.4,63.5
GA-171,"Lamar County",66.4,113,3.5,62.9
GA-173,"Lanier County",71.5,119,4.4,67.1
GA-175,"Laurens County",70.4,121,5.1,65.3
GA-177,"Lee County",71.4,120,5.3,66.1
GA-179,"Liberty County",73.1,123,5.5,67.6
GA-181,"Lincoln County",66.8,119,4.1,62.7
GA-183,"Long County",72.4,122,5.0,67.4
GA-185,"Lowndes County",71.7,119,4.3,67.4
GA-187,"Lumpkin County",60.8,105,2.6,58.2
GA-189,"McDuffie County",67.7,122,4.8,62.9
GA-191,"McIntosh County",73.1,120,4.5,68.6
GA-193,"Macon County",69.2,120,4.5,64.7
GA-195,"Madison County",64.7,116,3.6,61.1
GA-197,"Marion County",67.6,112,3.2,64.4
GA-199,"Meriwether County",65.9,112,3.4,62.5
GA-201,"Miller County",71.9,119,4.5,67.4
GA-205,"Mitchell County",72.0,121,4.8,67.2
GA-207,"Monroe County",67.1,117,3.9,63.2
GA-209,"Montgomery County",71.3,123,5.3,66
GA-211,"Morgan County",66.0,117,3.9,62.1
GA-213,"Murray County",63.2,110,3.3,59.9
GA-215,"Muscogee County",67.8,108,3.0,64.8
GA-217,"Newton County",65.3,112,3.4,61.9
GA-219,"Oconee County",65.7,118,4.0,61.7
GA-221,"Oglethorpe County",65.4,116,3.8,61.6
GA-223,"Paulding County",64.4,113,3.9,60.5
GA-225,"Peach County",69.0,121,4.7,64.3
GA-227,"Pickens County",62.3,108,2.9,59.4
GA-229,"Pierce County",71.7,119,4.4,67.3
GA-231,"Pike County",66.2,113,3.4,62.8
GA-233,"Polk County",64.1,111,3.5,60.6
GA-235,"Pulaski County",70.7,122,5.3,65.4
GA-237,"Putnam County",67.0,116,4.1,62.9
GA-239,"Quitman County",68.8,111,3.1,65.7
GA-241,"Rabun County",58.9,98,2.0,56.9
GA-243,"Randolph County",69.7,116,4.0,65.7
GA-245,"Richmond County",69.8,122,5.7,64.1
GA-247,"Rockdale County",65.1,111,3.4,61.7
GA-249,"Schley County",68.5,118,3.8,64.7
GA-251,"Screven County",70.8,123,5.9,64.9
GA-253,"Seminole County",72.3,119,4.5,67.8
GA-255,"Spalding County",66.0,110,3.3,62.7
GA-257,"Stephens County",63.4,104,2.6,60.8
GA-259,"Stewart County",68.0,110,2.9,65.1
GA-261,"Sumter County",69.9,121,4.6,65.3
GA-263,"Talbot County",66.9,114,3.2,63.7
GA-265,"Taliaferro County",66.3,118,3.9,62.4
GA-267,"Tattnall County",71.9,123,5.1,66.8
GA-269,"Taylor County",67.9,118,3.7,64.2
GA-271,"Telfair County",71.4,121,5.3,66.1
GA-273,"Terrell County",70.6,119,4.7,65.9
GA-275,"Thomas County",72.4,122,5.0,67.4
GA-277,"Tift County",71.5,122,5.2,66.3
GA-279,"Toombs County",71.5,123,5.2,66.3
GA-281,"Towns County",58.4,101,2.4,56
GA-283,"Treutlen County",70.9,122,5.3,65.6
GA-285,"Troup County",65.9,111,3.5,62.4
GA-287,"Turner County",71.0,122,5.3,65.7
GA-289,"Twiggs County",69.5,122,4.8,64.7
GA-291,"Union County",58.9,102,2.5,56.4
GA-293,"Upson County",66.9,115,3.5,63.4
GA-295,"Walker County",63.3,108,3.3,60
GA-297,"Walton County",65.0,115,3.6,61.4
GA-299,"Ware County",72.1,120,4.6,67.5
GA-301,"Warren County",67.4,120,4.6,62.8
GA-303,"Washington County",69.1,121,4.9,64.2
GA-305,"Wayne County",71.8,120,4.5,67.3
GA-307,"Webster County",68.6,116,3.6,65
GA-309,"Wheeler County",71.2,122,5.2,66
GA-311,"White County",60.7,103,2.5,58.2
GA-313,"Whitfield County",63.7,111,3.5,60.2
GA-315,"Wilcox County",71.0,122,5.4,65.6
GA-317,"Wilkes County",65.9,116,3.8,62.1
GA-319,"Wilkinson County",69.4,122,4.8,64.6
GA-321,"Worth County",71.5,121,5.3,66.2
ID-001,"Ada County",52.6,83,0.8,51.8
ID-003,"Adams County",46.0,89,1.5,44.5
ID-005,"Bannock County",47.5,96,1.9,45.6
ID-007,"Bear Lake County",43.1,89,1.8,41.3
ID-009,"Benewah County",45.1,59,-0.3,45.4
ID-011,"Bingham County",46.1,82,1.0,45.1
ID-013,"Blaine County",45.2,94,1.9,43.3
ID-015,"Boise County",46.2,96,1.5,44.7
ID-017,"Bonner County",42.4,45,-0.6,43
ID-019,"Bonneville County",43.7,81,0.8,42.9
ID-021,"Boundary County",40.3,50,-0.4,40.7
ID-023,"Butte County",44.1,89,1.4,42.7
ID-025,"Camas County",44.9,103,2.4,42.5
